id,name,images,emote_type,emote_set_id,owner_id
305732563,intent8MPoggies,https://static-cdn.jtvnw.net/emoticons/v1/305732563/3.0,subscriptions,300010783,69174683
305734199,intent8Byestweam,https://static-cdn.jtvnw.net/emoticons/v1/305734199/3.0,subscriptions,300010783,69174683
302979638,thepagYADA,https://static-cdn.jtvnw.net/emoticons/v1/302979638/3.0,subscriptions,300010795,160813424
302533774,thepagHype,https://static-cdn.jtvnw.net/emoticons/v1/302533774/3.0,subscriptions,300010795,160813424
302462760,thepagGGs,https://static-cdn.jtvnw.net/emoticons/v1/302462760/3.0,subscriptions,300010795,160813424
302453311,thepagTRASH,https://static-cdn.jtvnw.net/emoticons/v1/302453311/3.0,subscriptions,300010795,160813424
302453331,thepagSadTrashBoi,https://static-cdn.jtvnw.net/emoticons/v1/302453331/3.0,subscriptions,300010796,160813424
300018994,bazilePrivet,https://static-cdn.jtvnw.net/emoticons/v1/300018994/3.0,subscriptions,300010798,136061460
300036584,luky0010Hi,https://static-cdn.jtvnw.net/emoticons/v1/300036584/3.0,subscriptions,300010801,98222892
302883343,luky0010Facepalm,https://static-cdn.jtvnw.net/emoticons/v1/302883343/3.0,subscriptions,300010802,98222892
302882119,luky0010OOO,https://static-cdn.jtvnw.net/emoticons/v1/302882119/3.0,subscriptions,300010803,98222892
305150842,skrtsqDoge,https://static-cdn.jtvnw.net/emoticons/v1/305150842/3.0,subscriptions,300010804,253645117
300724122,akazayCute,https://static-cdn.jtvnw.net/emoticons/v1/300724122/3.0,subscriptions,300010810,78875611
300046256,akazayGlare,https://static-cdn.jtvnw.net/emoticons/v1/300046256/3.0,subscriptions,300010810,78875611
300020913,nckyvdHi,https://static-cdn.jtvnw.net/emoticons/v1/300020913/3.0,subscriptions,300010813,277467269
300020920,nckyvdCat,https://static-cdn.jtvnw.net/emoticons/v1/300020920/3.0,subscriptions,300010814,277467269
305056849,natassHeadshot,https://static-cdn.jtvnw.net/emoticons/v1/305056849/3.0,subscriptions,300010816,404881878
305276412,oceans12Sad,https://static-cdn.jtvnw.net/emoticons/v1/305276412/3.0,subscriptions,300010819,48212132
